Acronyme,Nomdelorganisation,Typedorganisation,adm1code,adm2code,date,Secteur
ICDH,INITIATIVE CITOYENNE POUR LES DROITS DE L'HOMME,ONG Nationale,HT10,HT1031,24jun2022,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT10,HT1011,24jun2022,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT09,HT0914,01feb2025,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT08,HT0834,01sep2020,Coord. & Log. & services support
PAM,Programme Alimentaire Mondial,Nations Unies,HT01,HT0114,01feb2025,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT01,HT0116,24jun2022,Coord. & Log. & services support
FHAIPH,FÉDÉRATION HAÏTIENNE DES ASSOCIATIONS ET INSTITUTIONS DES PERSONNES HANDICAPÉES D'HAITI,ONG Nationale,HT03,HT0372,24jun2022,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT10,HT1031,01feb2024,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT03,HT0331,01sep2020,Coord. & Log. & services support
DKH,DIAKONIE KATSTROPHENHILFE,ONG Internationale,HT09,HT0911,11may2023,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT09,HT0932,01jun2024,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT03,HT0371,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT08,HT0823,01feb2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT07,HT0714,01feb2024,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT01,HT0132,24jun2022,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT09,HT0932,01sep2024,Coord. & Log. & services support
HC,HAITI COMMUNITERE,ONG Nationale,HT01,HT0116,01sep2020,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT03,HT0362,01feb2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT03,HT0323,01feb2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT03,HT0312,01sep2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT01,HT0112,01sep2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT01,HT0113,01feb2025,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT01,HT0118,01jun2024,Coord. & Log. & services support
OOI,OVERTURE OUTREACH INTERNATIONAL,ONG Internationale,HT07,HT0753,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT07,HT0752,01feb2025,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT05,HT0552,01feb2024,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT07,HT0732,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT05,HT0512,01feb2024,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT06,HT0632,01sep2020,Coord. & Log. & services support
PAM,Programme Alimentaire Mondial,Nations Unies,HT05,HT0511,01feb2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT03,HT0371,01feb2024,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT01,HT0122,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT03,HT0371,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT07,HT0714,01jun2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT01,HT0123,01feb2025,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT02,HT0221,01feb2025,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT03,HT0322,24jun2022,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT04,HT0433,01feb2025,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT03,HT0361,01sep2020,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT07,HT0723,01sep2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT03,HT0321,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT07,HT0731,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT02,HT0234,01feb2024,Coord. & Log. & services support
CRE,CROIX ROUGE ESPAGNOLE,Mouvement Croix-Rouge,HT01,HT0111,11may2023,Coord. & Log. & services support
UNOPS,Bureau des Nations Unies pour les services d’appui aux projets,Nations Unies,HT02,HT0211,11may2023,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT09,HT0912,01feb2025,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT03,HT0343,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT07,HT0713,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT01,HT0113,01sep2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT05,HT0511,01feb2024,Coord. & Log. & services support
ICDH,INITIATIVE CITOYENNE POUR LES DROITS DE L'HOMME,ONG Nationale,HT07,HT0733,24jun2022,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT04,HT0412,01feb2025,Coord. & Log. & services support
PAM,Programme Alimentaire Mondial,Nations Unies,HT03,HT0311,01feb2025,Coord. & Log. & services support
DKH,DIAKONIE KATASTROPHENHILFE,ONG Internationale,HT07,HT0711,24jun2022,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT03,HT0312,01feb2025,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT03,HT0351,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT07,HT0712,01sep2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT10,HT1013,01sep2024,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT07,HT0752,01sep2020,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT07,HT0752,01sep2020,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT08,HT0822,01jun2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT05,HT0532,01feb2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT04,HT0423,01feb2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT08,HT0832,01jun2024,Coord. & Log. & services support
ASA,ACTION SECOURS AMBULANCE,ONG Nationale,HT09,HT0911,01sep2020,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT10,HT1021,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT07,HT0712,01sep2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT02,HT0234,01feb2025,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT08,HT0823,01sep2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT03,HT0322,01feb2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT02,HT0232,01feb2024,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT09,HT0912,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT05,HT0543,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT03,HT0311,01sep2024,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT09,HT0932,01sep2020,Coord. & Log. & services support
ACTED,AGENCE D'AIDE À LA COOPÉRATION TECHNIQUE ET AU DÉVELOPPEMENT,ONG Internationale,HT07,HT0731,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT10,HT1021,01sep2024,Coord. & Log. & services support
HC,HAITI COMMUNITERE,ONG Nationale,HT01,HT0114,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT03,HT0323,01sep2024,Coord. & Log. & services support
FHAIPH,FÉDÉRATION HAÏTIENNE DES ASSOCIATIONS ET INSTITUTIONS DES PERSONNES HANDICAPÉES D'HAITI,ONG Nationale,HT09,HT0921,24jun2022,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT09,HT0921,01sep2024,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT06,HT0632,24jun2022,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT05,HT0531,01feb2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT04,HT0442,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT03,HT0332,01feb2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT10,HT1022,01sep2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT10,HT1031,01feb2024,Coord. & Log. & services support
PAM,Programme Alimentaire Mondial,Nations Unies,HT01,HT0114,01sep2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT04,HT0432,01jun2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT05,HT0533,01feb2025,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT10,HT1011,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT05,HT0544,01feb2025,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT06,HT0613,01feb2025,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT06,HT0623,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT01,HT0142,01jun2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT03,HT0313,01feb2025,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT03,HT0312,01sep2024,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT04,HT0413,24jun2022,Coord. & Log. & services support
UNOPS,BUREAU DES NATIONS UNIES POUR LES SERVICES D'APPUI AUX PROJETS,Nations Unies,HT02,HT0234,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT03,HT0322,01sep2024,Coord. & Log. & services support
PAM,Programme Alimentaire Mondial,Nations Unies,HT01,HT0112,01feb2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT06,HT0631,01feb2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT08,HT0823,01feb2025,Coord. & Log. & services support
HI,Humanité & Inclusion,ONG Internationale,HT01,HT0117,01sep2024,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT06,HT0621,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT02,HT0214,01sep2024,Coord. & Log. & services support
ICDH,INITIATIVE CITOYENNE POUR LES DROITS DE L'HOMME,ONG Nationale,HT08,HT0833,24jun2022,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT08,HT0831,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT10,HT1011,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT03,HT0343,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT10,HT1025,01sep2024,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT07,HT0715,01sep2020,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT07,HT0731,01feb2025,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT08,HT0834,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT09,HT0921,01sep2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT04,HT0422,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT07,HT0716,01sep2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT08,HT0821,01sep2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT04,HT0442,01sep2024,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT04,HT0434,24jun2022,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT07,HT0731,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT07,HT0711,01feb2024,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT09,HT0932,24jun2022,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT04,HT0433,01feb2025,Coord. & Log. & services support
ACTED,AGENCE D'AIDE À LA COOPÉRATION TECHNIQUE ET AU DÉVELOPPEMENT,ONG Internationale,HT06,HT0633,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT10,HT1031,01sep2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT10,HT1021,01jun2024,Coord. & Log. & services support
HERO,HERO CLIENT RESCUE S.A,Autre Type,HT01,HT0115,11may2023,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT05,HT0541,01sep2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT08,HT0831,01sep2024,Coord. & Log. & services support
HI,Humanité & Inclusion,ONG Internationale,HT10,HT1011,01sep2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT03,HT0322,01jun2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT03,HT0371,01jun2024,Coord. & Log. & services support
FHAIPH,FÉDÉRATION HAÏTIENNE DES ASSOCIATIONS ET INSTITUTIONS DES PERSONNES HANDICAPÉES D'HAITI,ONG Nationale,HT02,HT0211,24jun2022,Coord. & Log. & services support
ASA,ACTION SECOURS AMBULANCE,ONG Nationale,HT01,HT0116,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT05,HT0551,01sep2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT07,HT0723,01feb2025,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT10,HT1021,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT05,HT0522,01sep2024,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT06,HT0631,24jun2022,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT05,HT0542,01jun2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT09,HT0922,01feb2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT05,HT0511,01sep2024,Coord. & Log. & services support
HC,HAITI COMMUNITERE,ONG Nationale,HT01,HT0117,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT03,HT0362,01feb2024,Coord. & Log. & services support
ASA,ACTION SECOURS AMBULANCE,ONG Nationale,HT09,HT0933,01sep2020,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT07,HT0731,24jun2022,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT01,HT0133,01feb2024,Coord. & Log. & services support
UNOPS,BUREAU DES NATIONS UNIES POUR LES SERVICES D'APPUI AUX PROJETS,Nations Unies,HT01,HT0141,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT07,HT0743,01sep2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT07,HT0742,01feb2024,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT07,HT0751,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT03,HT0323,01feb2025,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT05,HT0541,01sep2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT01,HT0111,01sep2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT02,HT0222,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT09,HT0911,01sep2024,Coord. & Log. & services support
PAM,Programme Alimentaire Mondial,Nations Unies,HT01,HT0111,01feb2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT06,HT0621,01sep2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT08,HT0832,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT09,HT0933,01feb2025,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT03,HT0352,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT08,HT0813,01feb2024,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT03,HT0321,24jun2022,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT09,HT0922,01feb2025,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT09,HT0921,01feb2025,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT03,HT0361,01sep2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT08,HT0814,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT07,HT0743,01feb2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT05,HT0542,01jun2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT03,HT0341,01sep2024,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT07,HT0752,24jun2022,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT07,HT0751,01feb2025,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT03,HT0313,01jun2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT04,HT0421,01jun2024,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT03,HT0323,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT07,HT0716,01feb2025,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT08,HT0814,24jun2022,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT01,HT0116,01jun2024,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT10,HT1014,24jun2022,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT09,HT0911,01feb2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT01,HT0122,01sep2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT01,HT0131,01jun2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT03,HT0311,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT09,HT0933,01jun2024,Coord. & Log. & services support
UNOPS,BUREAU DES NATIONS UNIES POUR LES SERVICES D'APPUI AUX PROJETS,Nations Unies,HT01,HT0151,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT06,HT0614,01feb2025,Coord. & Log. & services support
EDSEG,ÉCOLE DE DROIT ET DES SCIENCES ÉCONOMIQUES DES GONAIVES/UNIVERSITÉ D'ÉTAT D'HAÏTI,Société Civile,HT05,HT0512,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT04,HT0421,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT02,HT0222,01sep2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT01,HT0142,01sep2024,Coord. & Log. & services support
DKH,DIAKONIE KATSTROPHENHILFE,ONG Internationale,HT01,HT0118,11may2023,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT06,HT0613,01jun2024,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT10,HT1024,01sep2020,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT04,HT0441,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT01,HT0111,01sep2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT03,HT0323,01feb2025,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT04,HT0423,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT06,HT0641,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT01,HT0122,01feb2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT03,HT0361,01feb2024,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT03,HT0344,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT07,HT0743,01feb2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT05,HT0531,01feb2024,Coord. & Log. & services support
VISION4WORD,VISION4WORD,ONG Internationale,HT07,HT0713,24jun2022,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT08,HT0834,24jun2022,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT09,HT0911,01sep2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT04,HT0443,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT08,HT0811,01feb2025,Coord. & Log. & services support
HI,Humanité & Inclusion,ONG Internationale,HT01,HT0113,01jun2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT06,HT0613,01jun2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT07,HT0711,01sep2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT06,HT0614,01feb2024,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT01,HT0118,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT06,HT0611,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT03,HT0341,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT03,HT0343,01jun2024,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT02,HT0231,01feb2024,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT05,HT0542,01feb2025,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT04,HT0441,24jun2022,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT05,HT0512,01sep2024,Coord. & Log. & services support
FHAIPH,FÉDÉRATION HAÏTIENNE DES ASSOCIATIONS ET INSTITUTIONS DES PERSONNES HANDICAPÉES D'HAITI,ONG Nationale,HT01,HT0118,24jun2022,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT09,HT0912,01feb2024,Coord. & Log. & services support
UNOPS,BUREAU DES NATIONS UNIES POUR LES SERVICES D'APPUI AUX PROJETS,Nations Unies,HT06,HT0623,01sep2020,Coord. & Log. & services support
CLIO,CADRE DE LIAISON INTER-ORGANISATIONS,Société Civile,HT10,HT1013,01sep2020,Coord. & Log. & services support
OCHA,Bureau des Nations unies pour la coordination des affaires humanitaires,Nations Unies,HT02,HT0213,01jun2024,Coord. & Log. & services support
CRS,CATHOLIC RELIEF SERVICES,ONG Internationale,HT03,HT0321,01sep2020,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT05,HT0512,01feb2024,Coord. & Log. & services support
FEPH,FÉDÉRATION DES ECOLES PROTESTANTES D’HAÏTI,ONG Nationale,HT01,HT0131,24jun2022,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT09,HT0914,01feb2025,Coord. & Log. & services support
INSO,International NGO Safety Organisation,ONG Internationale,HT05,HT0513,01feb2024,Coord. & Log. & services support
UNDSS,United Nations Department for Safety and Security,Nations Unies,HT03,HT0362,01jun2024,Coord. & Log. & services support
